case_id,run_id,agent,anchor,repeat_index,detection_correct,identification_correct,evidence_f1,recovery_verdict,cost_usd
case_0002,20260914T223938Z_55372c,react,numbers,1,True,True,0.6667,recovered,0.068794
case_0002,20260914T224529Z_16fd84,static,numbers,1,True,True,0.6667,recovered,0.013278
case_0002,20260914T224855Z_41fdd5,react,off,1,False,False,0.0,rejected,0.097062
case_0002,20260914T225024Z_abfc7f,static,off,0,False,False,0.0,rejected,0.012101
case_0002,20260914T230248Z_2557fa,react,rule,0,True,True,0.8,recovered,0.069393
case_0002,20260914T230305Z_89b7da,react,rule,1,True,True,0.6667,recovered,0.114503
case_0002,20260914T230351Z_3e6f53,static,rule,1,True,True,0.8,recovered,0.013503
case_0002,20260914T230516Z_49f3fa,static,off,1,False,False,0.0,rejected,0.012111
case_0002,20260914T230821Z_06ca36,static,numbers,0,True,True,0.6667,recovered,0.013538
case_0002,20260914T231357Z_3833f5,react,numbers,0,True,True,0.8,recovered,0.063702
case_0002,20260914T231646Z_044e1f,static,rule,0,True,True,0.6667,recovered,0.013703
case_0002,20260914T232105Z_516413,react,off,0,True,True,1.0,rejected,0.060806
case_0004,20260914T223435Z_2c87df,static,numbers,1,True,False,0.6667,rejected,0.015406
case_0004,20260914T223517Z_1c44f6,static,rule,1,True,True,0.8571,recovered,0.014686
case_0004,20260914T230053Z_dfdaee,react,numbers,1,True,True,0.6667,recovered,0.068703
case_0004,20260914T230436Z_47575b,static,rule,0,True,True,0.5714,recovered,0.014021
case_0004,20260914T230625Z_911158,react,off,0,False,False,0.0,rejected,0.111292
case_0004,20260914T230727Z_d751a5,static,numbers,0,True,True,0.5714,recovered,0.014911
case_0004,20260914T230849Z_c50645,react,numbers,0,True,True,0.8571,recovered,0.072802
case_0004,20260914T230915Z_961fdb,static,off,0,False,False,0.0,rejected,0.012554
case_0004,20260914T231004Z_5fca0c,static,off,1,False,False,0.0,rejected,0.012294
case_0004,20260914T231747Z_461fa5,react,rule,0,True,True,0.6667,recovered,0.07017
case_0004,20260914T233630Z_a04b0b,react,off,1,False,False,0.0,rejected,0.094628
case_0004,20260914T234003Z_c2a67e,react,rule,1,True,True,1.0,recovered,0.050728
case_0005,20260914T223314Z_38d878,react,rule,1,False,False,0.0,false_intervention,0.094461
case_0005,20260914T224225Z_0946de,react,numbers,0,False,False,0.0,no_unnecessary_repair,0.065536
case_0005,20260914T225041Z_591829,react,off,1,True,True,1.0,no_unnecessary_repair,0.099445
case_0005,20260914T225318Z_714810,static,off,0,True,True,1.0,no_unnecessary_repair,0.012144
case_0005,20260914T225504Z_04b8e1,react,rule,0,False,False,0.0,false_intervention,0.084221
case_0005,20260914T230944Z_437993,static,rule,0,True,True,1.0,no_unnecessary_repair,0.011786
case_0005,20260914T231436Z_1e17cb,static,numbers,0,False,False,0.0,false_intervention,0.014171
case_0005,20260914T231448Z_f175e3,static,off,1,True,True,1.0,no_unnecessary_repair,0.011739
case_0005,20260914T231836Z_8e5e0a,react,numbers,1,False,False,0.0,false_intervention,0.077135
case_0005,20260914T232602Z_078158,static,numbers,1,True,True,1.0,no_unnecessary_repair,0.013426
case_0005,20260914T232636Z_a6d2f4,static,rule,1,True,True,1.0,no_unnecessary_repair,0.012386
case_0005,20260914T233126Z_2410cf,react,off,0,True,True,1.0,no_unnecessary_repair,0.099347
case_0006,20260914T223905Z_5103fd,static,numbers,1,False,False,0.0,no_unnecessary_repair,0.014566
case_0006,20260914T225128Z_b7557d,static,rule,0,True,True,1.0,no_unnecessary_repair,0.013081
case_0006,20260914T225308Z_94008f,react,numbers,1,True,True,1.0,no_unnecessary_repair,0.017881
case_0006,20260914T225713Z_dc08ef,static,numbers,0,False,False,0.0,no_unnecessary_repair,0.013716
case_0006,20260914T225752Z_28da2f,static,off,1,True,True,1.0,no_unnecessary_repair,0.011804
case_0006,20260914T230428Z_c651fa,static,rule,1,True,True,1.0,no_unnecessary_repair,0.011836
case_0006,20260914T231548Z_01c96a,react,numbers,0,False,False,0.0,false_intervention,0.074706
case_0006,20260914T231807Z_8011f9,react,off,0,True,True,1.0,no_unnecessary_repair,0.089032
case_0006,20260914T232348Z_949458,react,off,1,True,True,1.0,no_unnecessary_repair,0.113544
case_0006,20260914T232553Z_d66f4a,static,off,0,True,True,1.0,no_unnecessary_repair,0.012904
case_0006,20260914T233437Z_4e9a4a,react,rule,0,True,True,1.0,no_unnecessary_repair,0.074943
case_0006,20260914T233906Z_d6a222,react,rule,1,True,True,1.0,no_unnecessary_repair,0.065835
case_0007,20260914T224056Z_44ffce,static,rule,0,True,True,1.0,no_unnecessary_repair,0.011911
case_0007,20260914T224621Z_4ffc65,react,rule,0,True,True,1.0,no_unnecessary_repair,0.059139
case_0007,20260914T225136Z_96bedf,react,rule,1,True,True,1.0,no_unnecessary_repair,0.055863
case_0007,20260914T225808Z_b61c43,react,numbers,1,True,True,1.0,no_unnecessary_repair,0.038214
case_0007,20260914T230329Z_c7fa8f,react,numbers,0,True,True,1.0,no_unnecessary_repair,0.047391
case_0007,20260914T231135Z_7c92af,static,numbers,1,True,True,1.0,no_unnecessary_repair,0.011711
case_0007,20260914T232323Z_9b0dd4,static,rule,1,True,True,1.0,no_unnecessary_repair,0.011986
case_0007,20260914T233144Z_f9b0d6,static,numbers,0,True,True,1.0,no_unnecessary_repair,0.012876
case_0007,20260914T233227Z_ba4e17,static,off,0,True,True,1.0,no_unnecessary_repair,0.011964
case_0007,20260914T233834Z_8d005b,react,off,0,True,True,1.0,no_unnecessary_repair,0.08092
case_0007,20260914T233851Z_1ffd47,react,off,1,True,True,1.0,no_unnecessary_repair,0.070267
case_0007,20260914T234051Z_47d059,static,off,1,True,True,1.0,no_unnecessary_repair,0.011614
case_0013,20260914T224559Z_a9d323,react,numbers,0,True,False,0.8,rejected,0.079079
case_0013,20260914T224648Z_6e9a51,react,rule,1,True,True,0.6667,recovered,0.061562
case_0013,20260914T224808Z_05b146,react,off,0,False,False,0.0,rejected,0.076173
case_0013,20260914T230151Z_783ee2,static,numbers,1,True,False,0.6667,rejected,0.013781
case_0013,20260914T231656Z_3d8b23,static,rule,0,True,False,0.8571,recovered,0.013806
case_0013,20260914T231827Z_ac37e7,static,off,0,False,False,0.0,rejected,0.012084
case_0013,20260914T232721Z_d09868,static,rule,1,True,True,0.8571,recovered,0.013786
case_0013,20260914T233104Z_fcf1e6,react,numbers,1,True,True,1.0,recovered,0.078225
case_0013,20260914T233510Z_a66a37,static,off,1,False,False,0.0,rejected,0.012684
case_0013,20260914T233520Z_b67484,react,rule,0,True,True,0.6667,recovered,0.10037
case_0013,20260914T233741Z_aacb42,static,numbers,0,False,False,0.0,rejected,0.013351
case_0013,20260914T233945Z_860ef7,react,off,1,False,False,0.0,rejected,0.074222
case_0014,20260914T223409Z_7a077f,react,numbers,1,True,True,1.0,rejected,0.074039
case_0014,20260914T223712Z_206a11,react,numbers,0,True,True,0.8,recovered,0.168088
case_0014,20260914T225657Z_a83ec6,react,off,0,False,False,0.0,rejected,0.063109
case_0014,20260914T230507Z_448be6,static,numbers,0,False,False,0.0,rejected,0.012686
case_0014,20260914T232015Z_3c54ff,static,off,1,False,False,0.0,rejected,0.012569
case_0014,20260914T232024Z_131fd9,react,off,1,False,False,0.0,rejected,0.084466
case_0014,20260914T232330Z_402d9e,static,off,0,False,False,0.0,rejected,0.012174
case_0014,20260914T232800Z_e47f80,static,rule,0,False,False,0.0,rejected,0.012311
case_0014,20260914T232836Z_d34f62,react,rule,1,True,True,0.8,recovered,0.087643
case_0014,20260914T232940Z_5d8fec,react,rule,0,True,False,0.6667,recovered,0.098646
case_0014,20260914T233659Z_badbc7,static,numbers,1,True,False,0.3333,rejected,0.014476
case_0014,20260914T233934Z_eef47b,static,rule,1,True,False,1.0,rejected,0.013861
case_0015,20260914T223558Z_12f8b3,react,off,1,False,False,0.0,rejected,0.118785
case_0015,20260914T225844Z_34e50a,react,rule,0,True,True,0.8571,recovered,0.07495
case_0015,20260914T230614Z_9a4e9f,static,numbers,0,True,True,0.8571,recovered,0.014056
case_0015,20260914T230952Z_dce57e,static,rule,1,True,True,0.8571,recovered,0.014146
case_0015,20260914T231142Z_90daa6,static,off,1,True,False,0.0,rejected,0.012949
case_0015,20260914T231528Z_83656a,react,numbers,1,True,True,0.8571,recovered,0.081154
case_0015,20260914T231607Z_aa8ecf,static,numbers,1,True,False,0.6667,rejected,0.014941
case_0015,20260914T231933Z_7416d5,react,rule,1,True,True,0.75,recovered,0.070716
case_0015,20260914T232056Z_b31a62,static,off,0,False,False,0.0,rejected,0.012549
case_0015,20260914T232229Z_6868cd,react,off,0,False,False,0.0,rejected,0.103641
case_0015,20260914T233216Z_9690c9,static,rule,0,True,False,0.6667,recovered,0.014026
case_0015,20260914T233235Z_78b3a6,react,numbers,0,True,True,0.5714,recovered,0.072816
case_0016,20260914T223349Z_98fec3,react,rule,0,True,True,0.75,recovered,0.074913
case_0016,20260914T223529Z_35c372,react,off,1,False,False,0.0,rejected,0.130586
case_0016,20260914T224037Z_9ef29d,react,off,0,False,False,0.0,rejected,0.076045
case_0016,20260914T224448Z_ffcdc4,static,numbers,0,True,True,0.8571,recovered,0.014186
case_0016,20260914T224825Z_0cf09b,static,rule,1,True,True,0.75,recovered,0.014456
case_0016,20260914T225404Z_8a530a,react,rule,1,True,True,0.8571,recovered,0.089546
case_0016,20260914T225723Z_90584b,static,off,0,False,False,0.0,rejected,0.012054
case_0016,20260914T225823Z_3c7435,static,rule,0,True,True,0.8571,recovered,0.013901
