case_id,run_id,agent,anchor,repeat_index,detection_correct,identification_correct,evidence_f1,recovery_verdict,cost_usd
case_0001,20260912T232141Z_ec64f3,static,off,2,True,True,1.0,recovered,0.012862
case_0001,20260912T232457Z_f81354,react,on,0,True,True,1.0,recovered,0.078022
case_0001,20260912T233634Z_ccd75b,react,off,0,True,True,0.8571,recovered,0.090213
case_0001,20260912T234330Z_b17de5,static,off,1,True,True,0.8571,recovered,0.012892
case_0001,20260912T235219Z_337259,react,on,1,True,True,0.8571,recovered,0.064161
case_0001,20260912T235933Z_7416d1,react,off,2,True,True,1.0,recovered,0.047213
case_0001,20260913T002354Z_e531ef,static,on,2,True,True,1.0,recovered,0.013069
case_0001,20260913T003130Z_8e8f64,react,off,1,True,True,1.0,recovered,0.078708
case_0001,20260913T003748Z_c2fdf2,react,on,2,True,True,1.0,recovered,0.073604
case_0001,20260913T004151Z_c293cd,static,on,0,True,True,0.6667,recovered,0.012809
case_0001,20260913T004405Z_db46ca,static,off,0,True,True,0.8571,recovered,0.013817
case_0001,20260913T004608Z_39683c,static,on,1,True,True,1.0,recovered,0.013804
case_0002,20260912T232330Z_f848f4,react,off,0,True,True,1.0,recovered,0.10101
case_0002,20260912T232426Z_c4bab2,react,on,1,True,True,0.8,recovered,0.058418
case_0002,20260912T233205Z_0f8de5,static,on,1,True,True,0.6667,recovered,0.012469
case_0002,20260912T233428Z_7a5543,static,on,0,True,True,0.8,recovered,0.012914
case_0002,20260912T235339Z_8e1dd9,react,off,2,True,True,1.0,recovered,0.07472
case_0002,20260912T235402Z_6b867f,react,off,1,True,True,1.0,rejected,0.074812
case_0002,20260913T000613Z_eb67fd,static,on,2,True,True,0.6667,recovered,0.013024
case_0002,20260913T000810Z_4de99a,static,off,1,False,False,0.0,rejected,0.011292
case_0002,20260913T001623Z_820bec,static,off,2,False,False,0.0,rejected,0.011117
case_0002,20260913T001800Z_dc261a,react,on,0,True,True,0.8,recovered,0.094749
case_0002,20260913T003844Z_c5331b,react,on,2,True,True,0.8,recovered,0.073792
case_0002,20260913T004619Z_de1347,static,off,0,False,False,0.0,rejected,0.011487
case_0003,20260912T232056Z_876fc8,react,off,1,True,True,0.8,recovered,0.042452
case_0003,20260912T232742Z_7e3d16,react,on,0,True,True,0.4,recovered,0.089668
case_0003,20260912T233039Z_c4be9e,static,off,1,True,True,0.4,recovered,0.011216
case_0003,20260912T234859Z_e240b3,react,off,2,True,True,0.4,recovered,0.049957
case_0003,20260913T000848Z_722fc7,react,on,1,True,True,0.5,recovered,0.079389
case_0003,20260913T001906Z_6d1804,react,on,2,True,True,0.8,recovered,0.063704
case_0003,20260913T001953Z_311def,static,on,0,True,True,0.4,recovered,0.011978
case_0003,20260913T002208Z_851d6a,static,on,1,True,True,0.8,recovered,0.010863
case_0003,20260913T003635Z_4d1d44,react,off,0,True,True,0.8,recovered,0.094504
case_0003,20260913T004210Z_5c0930,static,on,2,True,True,0.8,recovered,0.010938
case_0003,20260913T004312Z_98e52c,static,off,2,True,True,0.8,recovered,0.011326
case_0003,20260913T004346Z_65a62d,static,off,0,True,True,0.0,recovered,0.011596
case_0004,20260912T232045Z_b37fb8,static,on,1,True,True,0.8571,recovered,0.012747
case_0004,20260912T232708Z_d98b3e,static,off,0,False,False,0.0,rejected,0.01145
case_0004,20260912T234039Z_9b4810,react,off,0,False,False,0.0,rejected,0.242042
case_0004,20260912T234605Z_25f3c7,static,on,2,True,True,0.8571,recovered,0.012677
case_0004,20260912T235802Z_449653,react,on,1,True,True,0.6667,recovered,0.061373
case_0004,20260912T235851Z_4f663a,react,off,1,False,False,0.0,rejected,0.082705
case_0004,20260913T000633Z_2472dd,static,off,2,False,False,0.0,rejected,0.01076
case_0004,20260913T001310Z_32a7ef,react,off,2,False,False,0.0,rejected,0.096756
case_0004,20260913T001828Z_2453b0,react,on,0,True,True,0.8571,recovered,0.056219
case_0004,20260913T002139Z_6a9b66,static,off,1,False,False,0.0,rejected,0.011485
case_0004,20260913T002936Z_35149c,react,on,2,True,True,1.0,recovered,0.040154
case_0004,20260913T004037Z_a5c5c7,static,on,0,True,True,0.6667,recovered,0.012752
case_0005,20260912T232716Z_f51ea6,static,on,1,True,True,1.0,no_unnecessary_repair,0.010872
case_0005,20260912T232851Z_3ad8a1,react,on,0,True,True,1.0,no_unnecessary_repair,0.018
case_0005,20260912T233121Z_63aad1,react,on,2,True,True,1.0,no_unnecessary_repair,0.052565
case_0005,20260912T233510Z_09f626,react,off,1,True,True,1.0,no_unnecessary_repair,0.083197
case_0005,20260912T234340Z_097a9e,react,off,0,True,True,1.0,no_unnecessary_repair,0.078151
