case_id,run_id,agent,anchor,repeat_index,detection_correct,identification_correct,evidence_f1,recovery_verdict,cost_usd
case_0019,20260921T133729Z_d45e6c,static,rule,1,True,True,0.8571,recovered,0.014882
case_0019,20260921T133856Z_af3e52,static,off,0,False,False,0.0,rejected,0.012615
case_0019,20260921T141632Z_c42967,static,rule,0,True,True,0.8571,recovered,0.0019535999999999998
case_0019,20260921T142628Z_cef69e,static,numbers,0,True,True,0.6667,recovered,0.0019124
case_0019,20260921T144303Z_c4e734,static,numbers,1,True,True,0.75,recovered,0.0005751799999999999
case_0019,20260921T144517Z_ba4de0,static,rule,0,True,True,0.75,recovered,0.015082
case_0019,20260921T145050Z_74a8c8,static,numbers,1,True,True,0.8571,recovered,0.014577
case_0019,20260921T145158Z_8ef108,react,off,0,False,False,0.0,rejected,0.096668
case_0019,20260921T150216Z_0f9535,react,off,1,True,True,0.75,recovered,0.0045262
case_0019,20260921T151024Z_a08f3a,react,off,0,True,True,0.6667,recovered,0.00316864
case_0019,20260921T151934Z_f5728f,react,rule,0,True,True,0.75,recovered,0.072507
case_0019,20260921T152344Z_a3d88f,static,rule,1,True,True,0.75,recovered,0.0017664
case_0019,20260921T152504Z_33d17b,react,numbers,1,True,True,0.8571,recovered,0.00395284
case_0019,20260921T153848Z_86ec57,react,numbers,1,True,True,0.8571,recovered,0.061713
case_0019,20260921T154258Z_a6d9c1,static,numbers,0,True,True,0.75,recovered,0.014912
case_0019,20260921T160133Z_2df645,static,off,0,True,True,0.75,recovered,0.0020458000000000004
case_0019,20260921T162517Z_eb5ea0,react,numbers,0,True,True,1.0,recovered,0.072638
case_0019,20260921T163800Z_c28904,react,off,1,False,False,0.0,rejected,0.103975
case_0019,20260921T171550Z_efb06a,react,rule,1,True,True,0.8571,recovered,0.072015
case_0019,20260921T171725Z_c7a139,static,off,1,True,True,0.75,recovered,0.0027418
case_0019,20260921T172417Z_a1850e,react,numbers,0,True,True,0.8571,recovered,0.00353928
case_0019,20260921T172642Z_2f2454,react,rule,0,True,False,0.75,recovered,0.00300038
case_0019,20260921T172723Z_837f94,react,rule,1,True,True,0.8571,rejected,0.0026827200000000004
case_0019,20260921T173116Z_2dca18,static,off,1,False,False,0.0,rejected,0.01336
case_0020,20260921T134637Z_a73c1c,react,numbers,0,True,False,1.0,recovered,0.066483
case_0020,20260921T135104Z_c4fd64,react,numbers,1,True,True,0.8571,recovered,0.00362816
case_0020,20260921T141642Z_bafa3b,react,off,1,False,False,0.0,rejected,0.141243
case_0020,20260921T142632Z_9cfab1,react,off,0,False,False,0.0,rejected,0.077026
case_0020,20260921T143507Z_ecff81,static,numbers,0,True,True,0.75,recovered,0.0019208000000000003
case_0020,20260921T144127Z_6b62da,react,off,1,False,False,0.0,rejected,0.00283324
case_0020,20260921T145519Z_eff666,static,rule,0,True,False,0.8571,recovered,0.013937
case_0020,20260921T145611Z_7a1f60,static,numbers,1,True,True,0.8571,not_recovered,0.013922
case_0020,20260921T150908Z_d2ae15,static,numbers,0,True,False,1.0,not_recovered,0.014042
case_0020,20260921T152754Z_d9e0c4,static,off,1,True,True,0.75,recovered,0.002041
case_0020,20260921T154144Z_b1e03f,react,off,0,True,True,0.6667,rejected,0.00427896
case_0020,20260921T155119Z_79094a,static,off,0,False,False,0.0,rejected,0.01229
case_0020,20260921T160710Z_2e0cf7,static,numbers,1,True,True,0.6667,recovered,0.0019795999999999998
case_0020,20260921T160726Z_fe03c1,react,rule,1,False,False,0.0,rejected,0.068481
case_0020,20260921T161826Z_c3628e,react,rule,0,True,False,0.8,not_recovered,0.112435
case_0020,20260921T164938Z_56b275,react,numbers,0,True,True,0.8571,recovered,0.0029066
case_0020,20260921T170159Z_cd7c03,static,rule,0,True,True,0.8571,recovered,0.0018516
case_0020,20260921T170419Z_739643,static,off,0,True,True,0.75,recovered,0.0018214000000000001
case_0020,20260921T170606Z_a018bd,react,rule,1,True,True,0.6667,rejected,0.0036632599999999998
case_0020,20260921T170658Z_de5619,react,rule,0,True,True,0.5,recovered,0.00319722
case_0020,20260921T171005Z_dad7ab,react,numbers,1,True,True,0.8,recovered,0.073475
case_0020,20260921T172118Z_f903fe,static,rule,1,True,True,0.8571,recovered,0.00064386
case_0020,20260921T172715Z_f60f13,static,off,1,False,False,0.0,rejected,0.0123
case_0020,20260921T173021Z_222637,static,rule,1,True,True,0.5,recovered,0.014167
case_0021,20260921T133933Z_adba69,static,numbers,0,True,False,1.0,recovered,0.014082
case_0021,20260921T133944Z_6b0b68,static,rule,0,True,False,1.0,recovered,0.014052
case_0021,20260921T134530Z_263399,static,rule,1,True,False,0.8571,recovered,0.014112
case_0021,20260921T135156Z_9f7b75,react,off,0,True,False,0.2857,rejected,0.00372088
case_0021,20260921T140820Z_24c15e,static,off,0,False,False,0.0,rejected,0.01296
case_0021,20260921T143130Z_cfd1f3,react,rule,0,True,True,0.8571,rejected,0.079282
case_0021,20260921T143931Z_fc533c,react,rule,1,True,True,0.8571,recovered,0.00357192
case_0021,20260921T144209Z_267b8c,static,numbers,1,False,False,0.0,rejected,0.012992
case_0021,20260921T144416Z_1224be,react,numbers,1,True,True,0.75,recovered,0.00384862
case_0021,20260921T145730Z_c4f9db,static,numbers,0,True,True,0.8571,recovered,0.00179
case_0021,20260921T152348Z_5eb73a,react,numbers,1,True,True,0.6667,recovered,0.095573
case_0021,20260921T154556Z_16b4ba,react,numbers,0,True,True,0.8571,recovered,0.069669
case_0021,20260921T155920Z_00ff01,static,numbers,1,,,,,0.0
case_0021,20260921T155927Z_ce256e,static,numbers,1,True,True,0.75,recovered,0.0007515800000000001
